Age	Haul	TotalLength
0	529	70
3	529	145
3	529	150
2	529	150
3	529	150
3	529	150
5	529	155
4	529	155
4	529	155
3	529	155
2	529	155
4	529	160
3	529	160
6	529	160
2	529	160
7	529	160
4	529	165
6	529	165
5	529	165
8	529	165
4	529	165
3	529	170
6	529	170
6	529	170
6	529	170
6	529	170
6	529	175
8	529	175
5	529	175
6	529	175
6	529	175
5	529	180
6	529	180
7	529	180
8	529	180
7	529	180
8	529	185
7	529	185
6	529	185
7	529	185
9	529	185
7	529	190
8	529	190
9	529	190
9	529	190
7	529	190
11	529	195
10	529	195
9	529	195
9	529	195
8	529	195
11	529	200
11	529	200
8	529	200
9	529	200
15	529	200
13	529	205
17	529	205
9	529	205
9	529	205
14	529	210
11	529	210
10	529	210
14	529	215
13	529	215
11	529	220
12	529	225
15	529	235
11	529	240
3	531	145
2	531	145
3	531	150
9	531	210
10	531	210
11	531	215
15	531	215
12	531	215
13	531	220
3	532	145
3	532	145
2	532	145
1	532	145
4	532	145
3	532	150
4	532	150
2	532	150
2	532	150
3	532	150
4	532	155
4	532	155
3	532	155
4	532	155
3	532	160
7	532	160
4	532	160
3	532	160
3	532	160
5	532	165
4	532	165
4	532	165
4	532	165
6	532	165
4	532	170
5	532	170
5	532	170
5	532	170
7	532	170
6	532	175
6	532	175
4	532	175
5	532	175
9	532	175
7	532	180
8	532	180
5	532	180
9	532	180
6	532	180
6	532	185
8	532	185
8	532	185
7	532	185
9	532	185
9	532	190
9	532	190
14	532	190
6	532	190
10	532	190
9	532	195
10	532	195
9	532	195
8	532	195
14	532	195
11	532	200
7	532	200
11	532	200
11	532	200
6	532	200
14	532	205
9	532	205
8	532	210
11	532	210
12	532	210
13	532	210
12	532	215
15	532	215
10	532	215
17	532	235
1	535	130
4	535	140
11	535	195
10	535	205
8	535	205
10	535	210
13	535	210
14	535	215
0	533	55
0	533	70
1	533	135
2	533	135
3	533	140
3	533	140
2	533	140
2	533	140
3	533	145
2	533	145
3	533	145
3	533	145
2	533	145
7	533	150
2	533	150
2	533	150
2	533	150
3	533	150
