Haul	TotalLength	Age
703	70	0
703	70	0
703	70	0
703	70	0
703	75	0
703	75	0
703	75	0
703	75	0
703	75	0
703	80	0
703	80	0
703	80	0
703	80	0
703	85	0
703	85	0
703	85	0
703	85	0
703	85	0
703	90	0
703	90	0
703	90	0
703	95	0
703	95	0
703	95	0
703	100	0
703	100	0
703	100	0
703	100	0
703	100	0
703	105	0
703	105	0
703	105	0
703	110	1
703	110	0
703	110	1
703	110	1
703	110	1
703	115	1
703	115	1
703	115	1
703	115	1
703	115	1
703	120	1
703	120	1
703	120	1
703	120	1
703	120	2
703	125	1
703	125	1
703	125	1
703	125	1
703	125	1
703	130	1
703	130	1
703	130	1
703	130	1
703	130	1
703	135	1
703	135	1
703	135	1
703	135	1
703	135	1
703	140	3
703	140	2
703	140	2
703	140	1
703	140	2
703	145	2
703	145	2
703	145	2
703	145	2
703	145	2
703	150	4
703	150	2
703	150	2
703	150	2
703	150	2
703	155	2
703	155	2
703	155	2
703	155	2
703	155	2
703	160	2
703	165	9
703	170	3
703	170	5
703	180	6
703	195	10
705	75	0
705	80	0
705	85	0
705	130	1
705	130	1
705	130	1
705	130	1
705	135	1
705	135	2
705	135	2
705	135	2
705	135	3
705	140	2
705	140	2
705	140	2
705	145	2
705	145	2
705	145	2
705	145	3
705	145	2
705	150	2
705	150	3
705	150	2
705	150	4
705	150	5
705	155	3
705	155	3
705	155	2
705	155	5
705	155	2
705	160	2
705	160	2
705	160	2
705	160	2
705	160	2
705	165	5
705	165	2
705	165	4
705	165	3
705	165	5
705	170	10
705	170	9
705	170	6
705	170	3
705	170	5
705	175	5
705	175	5
705	175	9
705	175	5
705	175	5
705	180	9
705	180	4
705	180	3
705	180	9
705	180	7
705	185	14
705	185	10
705	185	10
705	185	5
705	185	9
705	190	10
705	190	11
705	190	8
705	190	9
705	190	13
705	195	15
705	195	9
705	195	10
705	195	5
705	195	9
705	205	16
705	205	15
705	210	17
705	210	17
705	215	15
705	230	14
706	85	0
706	140	3
706	140	5
706	145	2
706	145	2
706	150	2
706	150	3
706	150	2
706	150	3
706	150	2
706	155	3
706	155	5
706	155	4
706	155	4
706	155	3
706	160	4
706	160	4
706	160	6
706	160	6
706	160	4
706	165	5
706	165	6
706	165	3
706	165	5
706	165	5
706	170	3
706	170	9
706	170	3
706	170	5
706	170	4
706	175	8
706	175	5
706	175	5
706	175	9
706	175	7
706	180	7
706	180	10
706	180	9
706	180	8
706	180	8
706	185	8
706	185	8
706	185	9
706	185	9
706	185	9
706	190	9
706	190	6
706	190	9
706	190	7
706	190	8
706	195	11
706	195	13
706	195	11
706	195	11
706	195	15
706	200	9
706	200	10
706	205	15
706	205	11
