Haul	subdiv	Species	TotalLength	Age
25	30	ClupeaHarengus	75	0
25	30	ClupeaHarengus	75	0
25	30	ClupeaHarengus	80	0
25	30	ClupeaHarengus	85	0
25	30	ClupeaHarengus	100	0
25	30	ClupeaHarengus	105	1
25	30	ClupeaHarengus	110	0
25	30	ClupeaHarengus	110	1
25	30	ClupeaHarengus	110	1
25	30	ClupeaHarengus	115	0
25	30	ClupeaHarengus	115	1
25	30	ClupeaHarengus	115	1
25	30	ClupeaHarengus	115	1
25	30	ClupeaHarengus	115	1
25	30	ClupeaHarengus	120	0
25	30	ClupeaHarengus	120	1
25	30	ClupeaHarengus	120	1
25	30	ClupeaHarengus	120	1
25	30	ClupeaHarengus	120	1
25	30	ClupeaHarengus	125	1
25	30	ClupeaHarengus	125	1
25	30	ClupeaHarengus	125	1
25	30	ClupeaHarengus	125	1
25	30	ClupeaHarengus	125	1
25	30	ClupeaHarengus	130	1
25	30	ClupeaHarengus	130	1
25	30	ClupeaHarengus	130	1
25	30	ClupeaHarengus	130	4
25	30	ClupeaHarengus	130	2
25	30	ClupeaHarengus	135	1
25	30	ClupeaHarengus	135	1
25	30	ClupeaHarengus	135	1
25	30	ClupeaHarengus	135	1
25	30	ClupeaHarengus	135	1
25	30	ClupeaHarengus	140	1
25	30	ClupeaHarengus	140	2
25	30	ClupeaHarengus	140	1
25	30	ClupeaHarengus	140	1
25	30	ClupeaHarengus	140	2
25	30	ClupeaHarengus	145	1
25	30	ClupeaHarengus	145	1
25	30	ClupeaHarengus	145	2
25	30	ClupeaHarengus	145	1
25	30	ClupeaHarengus	145	2
25	30	ClupeaHarengus	150	2
25	30	ClupeaHarengus	150	2
25	30	ClupeaHarengus	150	4
25	30	ClupeaHarengus	150	6
25	30	ClupeaHarengus	150	2
25	30	ClupeaHarengus	155	2
25	30	ClupeaHarengus	155	2
25	30	ClupeaHarengus	155	4
25	30	ClupeaHarengus	155	3
25	30	ClupeaHarengus	155	4
25	30	ClupeaHarengus	160	2
25	30	ClupeaHarengus	160	3
25	30	ClupeaHarengus	160	2
25	30	ClupeaHarengus	160	4
25	30	ClupeaHarengus	160	4
25	30	ClupeaHarengus	165	4
25	30	ClupeaHarengus	165	5
25	30	ClupeaHarengus	165	5
25	30	ClupeaHarengus	165	4
25	30	ClupeaHarengus	165	5
25	30	ClupeaHarengus	170	4
25	30	ClupeaHarengus	170	4
25	30	ClupeaHarengus	170	4
25	30	ClupeaHarengus	170	5
25	30	ClupeaHarengus	175	3
25	30	ClupeaHarengus	175	5
27	30	ClupeaHarengus	70	0
27	30	ClupeaHarengus	75	0
27	30	ClupeaHarengus	75	0
27	30	ClupeaHarengus	80	0
27	30	ClupeaHarengus	80	0
27	30	ClupeaHarengus	80	0
27	30	ClupeaHarengus	80	0
27	30	ClupeaHarengus	80	0
27	30	ClupeaHarengus	85	0
27	30	ClupeaHarengus	85	0
27	30	ClupeaHarengus	85	0
27	30	ClupeaHarengus	85	0
27	30	ClupeaHarengus	85	0
27	30	ClupeaHarengus	90	0
27	30	ClupeaHarengus	90	0
27	30	ClupeaHarengus	90	0
27	30	ClupeaHarengus	90	0
27	30	ClupeaHarengus	90	0
27	30	ClupeaHarengus	95	0
27	30	ClupeaHarengus	95	0
27	30	ClupeaHarengus	95	0
27	30	ClupeaHarengus	95	0
27	30	ClupeaHarengus	95	0
27	30	ClupeaHarengus	100	0
27	30	ClupeaHarengus	100	0
27	30	ClupeaHarengus	100	0
27	30	ClupeaHarengus	100	0
27	30	ClupeaHarengus	100	0
27	30	ClupeaHarengus	105	0
27	30	ClupeaHarengus	105	0
27	30	ClupeaHarengus	110	0
27	30	ClupeaHarengus	110	0
27	30	ClupeaHarengus	110	0
27	30	ClupeaHarengus	110	1
27	30	ClupeaHarengus	110	0
27	30	ClupeaHarengus	115	1
27	30	ClupeaHarengus	115	1
27	30	ClupeaHarengus	115	1
27	30	ClupeaHarengus	120	1
27	30	ClupeaHarengus	120	1
27	30	ClupeaHarengus	120	1
27	30	ClupeaHarengus	120	1
27	30	ClupeaHarengus	120	1
27	30	ClupeaHarengus	125	1
27	30	ClupeaHarengus	125	1
27	30	ClupeaHarengus	125	1
27	30	ClupeaHarengus	125	1
27	30	ClupeaHarengus	125	1
27	30	ClupeaHarengus	130	1
27	30	ClupeaHarengus	130	1
27	30	ClupeaHarengus	130	1
27	30	ClupeaHarengus	130	1
27	30	ClupeaHarengus	130	1
27	30	ClupeaHarengus	135	1
27	30	ClupeaHarengus	135	1
27	30	ClupeaHarengus	135	1
27	30	ClupeaHarengus	135	1
27	30	ClupeaHarengus	135	1
27	30	ClupeaHarengus	140	1
27	30	ClupeaHarengus	140	1
27	30	ClupeaHarengus	140	2
27	30	ClupeaHarengus	140	1
27	30	ClupeaHarengus	140	2
27	30	ClupeaHarengus	145	1
27	30	ClupeaHarengus	145	2
27	30	ClupeaHarengus	145	2
27	30	ClupeaHarengus	145	3
27	30	ClupeaHarengus	145	4
27	30	ClupeaHarengus	150	2
27	30	ClupeaHarengus	150	2
27	30	ClupeaHarengus	150	1
27	30	ClupeaHarengus	150	2
27	30	ClupeaHarengus	150	5
27	30	ClupeaHarengus	155	2
27	30	ClupeaHarengus	155	2
27	30	ClupeaHarengus	155	8
27	30	ClupeaHarengus	155	2
27	30	ClupeaHarengus	155	2
27	30	ClupeaHarengus	160	3
27	30	ClupeaHarengus	160	3
27	30	ClupeaHarengus	160	5
27	30	ClupeaHarengus	160	2
27	30	ClupeaHarengus	160	3
27	30	ClupeaHarengus	165	2
27	30	ClupeaHarengus	165	5
27	30	ClupeaHarengus	175	5
27	30	ClupeaHarengus	175	7
27	30	ClupeaHarengus	180	5
29	30	ClupeaHarengus	80	0
29	30	ClupeaHarengus	85	0
29	30	ClupeaHarengus	85	0
29	30	ClupeaHarengus	90	0
29	30	ClupeaHarengus	95	0
29	30	ClupeaHarengus	105	0
29	30	ClupeaHarengus	120	1
29	30	ClupeaHarengus	120	1
29	30	ClupeaHarengus	125	1
29	30	ClupeaHarengus	125	1
29	30	ClupeaHarengus	125	1
29	30	ClupeaHarengus	125	1
29	30	ClupeaHarengus	125	1
29	30	ClupeaHarengus	130	0
29	30	ClupeaHarengus	130	1
29	30	ClupeaHarengus	130	1
29	30	ClupeaHarengus	130	1
29	30	ClupeaHarengus	130	1
29	30	ClupeaHarengus	135	1
29	30	ClupeaHarengus	135	1
29	30	ClupeaHarengus	135	1
29	30	ClupeaHarengus	135	1
29	30	ClupeaHarengus	135	1
29	30	ClupeaHarengus	140	1
29	30	ClupeaHarengus	140	1
29	30	ClupeaHarengus	140	1
29	30	ClupeaHarengus	140	1
29	30	ClupeaHarengus	140	1
29	30	ClupeaHarengus	145	1
29	30	ClupeaHarengus	145	1
29	30	ClupeaHarengus	145	2
29	30	ClupeaHarengus	145	2
29	30	ClupeaHarengus	145	1
29	30	ClupeaHarengus	150	2
29	30	ClupeaHarengus	150	2
29	30	ClupeaHarengus	150	1
29	30	ClupeaHarengus	150	2
29	30	ClupeaHarengus	150	6
29	30	ClupeaHarengus	155	2
29	30	ClupeaHarengus	155	2
29	30	ClupeaHarengus	155	3
29	30	ClupeaHarengus	155	2
29	30	ClupeaHarengus	155	3
29	30	ClupeaHarengus	160	3
29	30	ClupeaHarengus	160	5
29	30	ClupeaHarengus	160	5
29	30	ClupeaHarengus	160	6
29	30	ClupeaHarengus	160	4
29	30	ClupeaHarengus	165	5
29	30	ClupeaHarengus	165	8
29	30	ClupeaHarengus	165	3
29	30	ClupeaHarengus	165	3
29	30	ClupeaHarengus	165	8
29	30	ClupeaHarengus	170	8
29	30	ClupeaHarengus	170	8
29	30	ClupeaHarengus	170	3
29	30	ClupeaHarengus	170	5
29	30	ClupeaHarengus	170	8
29	30	ClupeaHarengus	175	5
29	30	ClupeaHarengus	175	4
29	30	ClupeaHarengus	175	5
29	30	ClupeaHarengus	175	6
29	30	ClupeaHarengus	175	8
29	30	ClupeaHarengus	180	3
29	30	ClupeaHarengus	180	6
29	30	ClupeaHarengus	180	8
29	30	ClupeaHarengus	180	6
29	30	ClupeaHarengus	180	8
29	30	ClupeaHarengus	185	8
29	30	ClupeaHarengus	185	8
29	30	ClupeaHarengus	185	4
29	30	ClupeaHarengus	185	6
29	30	ClupeaHarengus	185	8
29	30	ClupeaHarengus	190	8
29	30	ClupeaHarengus	190	8
29	30	ClupeaHarengus	190	8
29	30	ClupeaHarengus	190	8
29	30	ClupeaHarengus	190	8
29	30	ClupeaHarengus	195	7
29	30	ClupeaHarengus	195	8
29	30	ClupeaHarengus	195	8
29	30	ClupeaHarengus	195	6
29	30	ClupeaHarengus	195	8
29	30	ClupeaHarengus	200	8
29	30	ClupeaHarengus	200	8
29	30	ClupeaHarengus	200	8
29	30	ClupeaHarengus	205	8
29	30	ClupeaHarengus	205	8
29	30	ClupeaHarengus	205	8
29	30	ClupeaHarengus	205	8
29	30	ClupeaHarengus	205	8
29	30	ClupeaHarengus	210	8
29	30	ClupeaHarengus	210	8
29	30	ClupeaHarengus	215	8
29	30	ClupeaHarengus	215	8
29	30	ClupeaHarengus	220	8
29	30	ClupeaHarengus	225	8
31	30	ClupeaHarengus	85	0
31	30	ClupeaHarengus	110	1
31	30	ClupeaHarengus	120	1
31	30	ClupeaHarengus	120	0
31	30	ClupeaHarengus	120	1
31	30	ClupeaHarengus	125	1
31	30	ClupeaHarengus	125	1
31	30	ClupeaHarengus	125	1
31	30	ClupeaHarengus	125	1
31	30	ClupeaHarengus	125	1
31	30	ClupeaHarengus	130	1
31	30	ClupeaHarengus	130	1
31	30	ClupeaHarengus	130	1
31	30	ClupeaHarengus	130	2
31	30	ClupeaHarengus	130	3
31	30	ClupeaHarengus	135	1
31	30	ClupeaHarengus	135	1
31	30	ClupeaHarengus	135	1
31	30	ClupeaHarengus	135	1
31	30	ClupeaHarengus	135	1
31	30	ClupeaHarengus	140	1
31	30	ClupeaHarengus	140	1
31	30	ClupeaHarengus	140	2
31	30	ClupeaHarengus	140	1
31	30	ClupeaHarengus	140	2
31	30	ClupeaHarengus	145	1
31	30	ClupeaHarengus	145	2
31	30	ClupeaHarengus	145	1
31	30	ClupeaHarengus	145	2
31	30	ClupeaHarengus	145	3
31	30	ClupeaHarengus	150	2
31	30	ClupeaHarengus	150	2
31	30	ClupeaHarengus	150	3
31	30	ClupeaHarengus	150	2
31	30	ClupeaHarengus	150	3
31	30	ClupeaHarengus	155	3
31	30	ClupeaHarengus	155	6
31	30	ClupeaHarengus	155	8
31	30	ClupeaHarengus	155	7
31	30	ClupeaHarengus	155	3
31	30	ClupeaHarengus	160	6
31	30	ClupeaHarengus	160	6
31	30	ClupeaHarengus	160	6
31	30	ClupeaHarengus	160	4
31	30	ClupeaHarengus	160	8
31	30	ClupeaHarengus	165	3
31	30	ClupeaHarengus	165	5
31	30	ClupeaHarengus	165	3
31	30	ClupeaHarengus	165	2
31	30	ClupeaHarengus	165	3
31	30	ClupeaHarengus	170	3
31	30	ClupeaHarengus	170	2
31	30	ClupeaHarengus	170	5
31	30	ClupeaHarengus	170	5
31	30	ClupeaHarengus	170	7
31	30	ClupeaHarengus	175	8
31	30	ClupeaHarengus	175	3
31	30	ClupeaHarengus	175	8
31	30	ClupeaHarengus	175	5
31	30	ClupeaHarengus	175	8
31	30	ClupeaHarengus	180	5
31	30	ClupeaHarengus	180	6
31	30	ClupeaHarengus	180	8
31	30	ClupeaHarengus	180	8
31	30	ClupeaHarengus	180	8
31	30	ClupeaHarengus	185	7
31	30	ClupeaHarengus	185	8
31	30	ClupeaHarengus	185	7
31	30	ClupeaHarengus	185	8
31	30	ClupeaHarengus	185	8
31	30	ClupeaHarengus	190	8
31	30	ClupeaHarengus	190	8
31	30	ClupeaHarengus	190	8
31	30	ClupeaHarengus	190	6
31	30	ClupeaHarengus	190	8
31	30	ClupeaHarengus	195	8
31	30	ClupeaHarengus	195	4
31	30	ClupeaHarengus	195	8
31	30	ClupeaHarengus	195	8
31	30	ClupeaHarengus	195	8
31	30	ClupeaHarengus	200	8
31	30	ClupeaHarengus	200	8
31	30	ClupeaHarengus	200	8
31	30	ClupeaHarengus	200	8
31	30	ClupeaHarengus	200	8
31	30	ClupeaHarengus	205	8
31	30	ClupeaHarengus	205	8
31	30	ClupeaHarengus	205	8
31	30	ClupeaHarengus	205	8
31	30	ClupeaHarengus	205	8
31	30	ClupeaHarengus	210	8
31	30	ClupeaHarengus	210	8
31	30	ClupeaHarengus	210	8
31	30	ClupeaHarengus	215	8
31	30	ClupeaHarengus	215	8
31	30	ClupeaHarengus	215	8
31	30	ClupeaHarengus	215	8
31	30	ClupeaHarengus	215	8
31	30	ClupeaHarengus	220	8
31	30	ClupeaHarengus	230	8
31	30	ClupeaHarengus	260	8
33	30	ClupeaHarengus	75	0
33	30	ClupeaHarengus	75	0
33	30	ClupeaHarengus	80	0
33	30	ClupeaHarengus	80	0
33	30	ClupeaHarengus	80	0
33	30	ClupeaHarengus	80	0
33	30	ClupeaHarengus	80	0
33	30	ClupeaHarengus	85	0
33	30	ClupeaHarengus	85	0
33	30	ClupeaHarengus	85	0
33	30	ClupeaHarengus	85	0
33	30	ClupeaHarengus	85	0
33	30	ClupeaHarengus	90	0
33	30	ClupeaHarengus	90	0
33	30	ClupeaHarengus	90	0
33	30	ClupeaHarengus	90	0
33	30	ClupeaHarengus	95	0
33	30	ClupeaHarengus	95	0
33	30	ClupeaHarengus	100	0
33	30	ClupeaHarengus	100	0
33	30	ClupeaHarengus	105	0
33	30	ClupeaHarengus	105	0
33	30	ClupeaHarengus	105	0
33	30	ClupeaHarengus	110	1
33	30	ClupeaHarengus	110	0
33	30	ClupeaHarengus	120	1
33	30	ClupeaHarengus	120	1
33	30	ClupeaHarengus	120	0
33	30	ClupeaHarengus	120	1
33	30	ClupeaHarengus	120	1
33	30	ClupeaHarengus	125	1
33	30	ClupeaHarengus	125	1
33	30	ClupeaHarengus	125	1
33	30	ClupeaHarengus	125	1
33	30	ClupeaHarengus	125	1
33	30	ClupeaHarengus	130	1
33	30	ClupeaHarengus	130	1
33	30	ClupeaHarengus	130	1
33	30	ClupeaHarengus	130	1
33	30	ClupeaHarengus	130	1
33	30	ClupeaHarengus	135	1
33	30	ClupeaHarengus	135	1
33	30	ClupeaHarengus	135	1
33	30	ClupeaHarengus	135	1
33	30	ClupeaHarengus	135	1
33	30	ClupeaHarengus	140	1
33	30	ClupeaHarengus	140	1
33	30	ClupeaHarengus	140	1
33	30	ClupeaHarengus	140	1
33	30	ClupeaHarengus	140	1
33	30	ClupeaHarengus	145	1
33	30	ClupeaHarengus	145	1
33	30	ClupeaHarengus	145	2
33	30	ClupeaHarengus	145	1
33	30	ClupeaHarengus	145	2
33	30	ClupeaHarengus	150	2
33	30	ClupeaHarengus	150	2
33	30	ClupeaHarengus	150	2
33	30	ClupeaHarengus	150	2
33	30	ClupeaHarengus	150	7
33	30	ClupeaHarengus	155	3
33	30	ClupeaHarengus	155	8
33	30	ClupeaHarengus	155	2
33	30	ClupeaHarengus	155	3
33	30	ClupeaHarengus	155	3
33	30	ClupeaHarengus	160	2
33	30	ClupeaHarengus	160	2
33	30	ClupeaHarengus	160	2
33	30	ClupeaHarengus	160	5
33	30	ClupeaHarengus	160	2
33	30	ClupeaHarengus	165	3
33	30	ClupeaHarengus	165	3
33	30	ClupeaHarengus	165	7
33	30	ClupeaHarengus	165	4
33	30	ClupeaHarengus	165	6
33	30	ClupeaHarengus	170	7
33	30	ClupeaHarengus	170	5
33	30	ClupeaHarengus	170	3
33	30	ClupeaHarengus	170	5
33	30	ClupeaHarengus	170	6
33	30	ClupeaHarengus	175	4
33	30	ClupeaHarengus	175	5
33	30	ClupeaHarengus	175	5
33	30	ClupeaHarengus	175	6
33	30	ClupeaHarengus	175	5
33	30	ClupeaHarengus	180	6
33	30	ClupeaHarengus	180	3
33	30	ClupeaHarengus	180	8
33	30	ClupeaHarengus	180	8
33	30	ClupeaHarengus	180	6
33	30	ClupeaHarengus	185	6
33	30	ClupeaHarengus	185	8
33	30	ClupeaHarengus	185	8
33	30	ClupeaHarengus	185	8
33	30	ClupeaHarengus	185	8
33	30	ClupeaHarengus	190	8
33	30	ClupeaHarengus	190	8
33	30	ClupeaHarengus	190	8
33	30	ClupeaHarengus	195	8
33	30	ClupeaHarengus	195	8
33	30	ClupeaHarengus	200	8
33	30	ClupeaHarengus	210	8
33	30	ClupeaHarengus	210	6
33	30	ClupeaHarengus	215	8
35	30	ClupeaHarengus	65	0
35	30	ClupeaHarengus	70	0
35	30	ClupeaHarengus	75	0
35	30	ClupeaHarengus	75	0
35	30	ClupeaHarengus	80	0
35	30	ClupeaHarengus	95	0
35	30	ClupeaHarengus	105	0
35	30	ClupeaHarengus	105	0
35	30	ClupeaHarengus	105	0
35	30	ClupeaHarengus	105	0
35	30	ClupeaHarengus	105	0
35	30	ClupeaHarengus	110	1
35	30	ClupeaHarengus	110	0
35	30	ClupeaHarengus	115	0
35	30	ClupeaHarengus	115	0
35	30	ClupeaHarengus	115	1
35	30	ClupeaHarengus	115	0
35	30	ClupeaHarengus	115	1
35	30	ClupeaHarengus	120	1
35	30	ClupeaHarengus	120	1
35	30	ClupeaHarengus	120	1
35	30	ClupeaHarengus	120	1
35	30	ClupeaHarengus	120	1
35	30	ClupeaHarengus	125	1
35	30	ClupeaHarengus	125	1
35	30	ClupeaHarengus	125	1
35	30	ClupeaHarengus	125	1
35	30	ClupeaHarengus	125	1
35	30	ClupeaHarengus	130	1
35	30	ClupeaHarengus	130	1
35	30	ClupeaHarengus	130	1
35	30	ClupeaHarengus	130	1
35	30	ClupeaHarengus	130	1
35	30	ClupeaHarengus	135	1
35	30	ClupeaHarengus	135	1
35	30	ClupeaHarengus	135	1
35	30	ClupeaHarengus	135	1
35	30	ClupeaHarengus	135	1
35	30	ClupeaHarengus	140	1
35	30	ClupeaHarengus	140	1
35	30	ClupeaHarengus	140	2
35	30	ClupeaHarengus	140	1
35	30	ClupeaHarengus	140	1
35	30	ClupeaHarengus	145	1
35	30	ClupeaHarengus	145	2
35	30	ClupeaHarengus	145	1
35	30	ClupeaHarengus	145	2
35	30	ClupeaHarengus	145	2
35	30	ClupeaHarengus	150	1
35	30	ClupeaHarengus	150	2
35	30	ClupeaHarengus	150	2
35	30	ClupeaHarengus	150	2
35	30	ClupeaHarengus	150	4
35	30	ClupeaHarengus	155	3
35	30	ClupeaHarengus	155	7
35	30	ClupeaHarengus	155	3
35	30	ClupeaHarengus	155	2
35	30	ClupeaHarengus	155	2
35	30	ClupeaHarengus	160	3
35	30	ClupeaHarengus	160	3
35	30	ClupeaHarengus	160	3
35	30	ClupeaHarengus	160	7
35	30	ClupeaHarengus	160	4
35	30	ClupeaHarengus	165	4
35	30	ClupeaHarengus	165	8
35	30	ClupeaHarengus	165	3
35	30	ClupeaHarengus	165	4
35	30	ClupeaHarengus	165	6
35	30	ClupeaHarengus	170	3
35	30	ClupeaHarengus	170	5
35	30	ClupeaHarengus	170	6
35	30	ClupeaHarengus	170	5
35	30	ClupeaHarengus	170	6
35	30	ClupeaHarengus	175	5
35	30	ClupeaHarengus	175	6
35	30	ClupeaHarengus	175	3
35	30	ClupeaHarengus	175	6
35	30	ClupeaHarengus	175	7
35	30	ClupeaHarengus	180	8
35	30	ClupeaHarengus	180	8
35	30	ClupeaHarengus	180	5
35	30	ClupeaHarengus	180	8
35	30	ClupeaHarengus	185	8
35	30	ClupeaHarengus	185	8
35	30	ClupeaHarengus	185	8
35	30	ClupeaHarengus	185	6
35	30	ClupeaHarengus	190	8
35	30	ClupeaHarengus	195	8
35	30	ClupeaHarengus	195	7
35	30	ClupeaHarengus	200	8
35	30	ClupeaHarengus	205	8
35	30	ClupeaHarengus	370	8
37	30	ClupeaHarengus	70	0
37	30	ClupeaHarengus	70	0
37	30	ClupeaHarengus	70	0
37	30	ClupeaHarengus	70	0
37	30	ClupeaHarengus	70	0
37	30	ClupeaHarengus	75	0
37	30	ClupeaHarengus	75	0
37	30	ClupeaHarengus	80	0
37	30	ClupeaHarengus	80	0
37	30	ClupeaHarengus	90	0
37	30	ClupeaHarengus	90	0
37	30	ClupeaHarengus	90	0
37	30	ClupeaHarengus	90	0
37	30	ClupeaHarengus	95	0
37	30	ClupeaHarengus	95	0
37	30	ClupeaHarengus	95	0
37	30	ClupeaHarengus	95	0
37	30	ClupeaHarengus	95	0
37	30	ClupeaHarengus	100	0
37	30	ClupeaHarengus	100	0
37	30	ClupeaHarengus	100	0
37	30	ClupeaHarengus	100	0
37	30	ClupeaHarengus	100	0
37	30	ClupeaHarengus	105	0
37	30	ClupeaHarengus	105	0
37	30	ClupeaHarengus	105	0
37	30	ClupeaHarengus	110	0
37	30	ClupeaHarengus	110	0
37	30	ClupeaHarengus	110	1
37	30	ClupeaHarengus	110	0
37	30	ClupeaHarengus	115	0
37	30	ClupeaHarengus	115	1
37	30	ClupeaHarengus	115	0
37	30	ClupeaHarengus	115	1
37	30	ClupeaHarengus	115	1
37	30	ClupeaHarengus	120	1
37	30	ClupeaHarengus	120	1
37	30	ClupeaHarengus	120	1
37	30	ClupeaHarengus	120	1
37	30	ClupeaHarengus	120	1
37	30	ClupeaHarengus	125	1
37	30	ClupeaHarengus	125	1
37	30	ClupeaHarengus	125	1
37	30	ClupeaHarengus	125	1
37	30	ClupeaHarengus	125	1
37	30	ClupeaHarengus	130	1
37	30	ClupeaHarengus	130	1
37	30	ClupeaHarengus	130	1
37	30	ClupeaHarengus	130	1
37	30	ClupeaHarengus	130	1
37	30	ClupeaHarengus	135	1
37	30	ClupeaHarengus	135	1
37	30	ClupeaHarengus	135	1
