DayNight	ICES	Haul
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G7	583
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	593
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
D	50G8	597
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
E	50G9	594
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
M	50G9	596
N	50H0	595
N	50H0	595
N	50H0	595
N	50H0	595
N	50H0	595
N	50H0	595
N	50H0	595
N	50H0	595
N	50H0	595
N	50H0	595
N	50H0	595
N	50H0	595
N	50H0	595
