Haul	ICES	DayNight
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
734	50G8	D
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
736	50G8	N
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
733	50G9	D
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
737	50G9	M
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
731	50H0	N
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
732	50H0	M
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
727	51G7	D
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
726	51G8	N
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
728	51G8	D
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
725	51G9	N
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
729	51G9	D
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
724	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
730	51H0	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
720	52G7	N
719	52G8	D
719	52G8	D
719	52G8	D
719	52G8	D
719	52G8	D
719	52G8	D
719	52G8	D
