DayNight	Haul	ICES
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	25	50G9
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
D	27	50H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
E	29	51H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	31	52H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
N	33	53H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
M	35	54H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	37	55H0
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
D	39	55G9
