Day_Night	Haul	Species2	Species	ICES	Lengthcl	No	sigma
N	563	CLUPEA_HARENGUS	1	50G7	6.75	11	4.34E-05
N	563	CLUPEA_HARENGUS	1	50G7	7.25	14.7	5.01E-05
N	563	CLUPEA_HARENGUS	1	50G7	7.75	25.7	5.73E-05
N	563	CLUPEA_HARENGUS	1	50G7	8.25	51.3	6.49E-05
N	563	CLUPEA_HARENGUS	1	50G7	8.75	84.3	7.30E-05
N	563	CLUPEA_HARENGUS	1	50G7	9.25	102.6	8.16E-05
N	563	CLUPEA_HARENGUS	1	50G7	9.75	25.7	9.06E-05
N	563	CLUPEA_HARENGUS	1	50G7	10.25	22	1.00E-04
N	563	CLUPEA_HARENGUS	1	50G7	10.75	11	1.10E-04
N	563	CLUPEA_HARENGUS	1	50G7	11.25	22	1.21E-04
N	563	CLUPEA_HARENGUS	1	50G7	11.75	44	1.32E-04
N	563	CLUPEA_HARENGUS	1	50G7	12.25	66	1.43E-04
N	563	CLUPEA_HARENGUS	1	50G7	12.75	110	1.55E-04
N	563	CLUPEA_HARENGUS	1	50G7	13.25	179.6	1.67E-04
N	563	CLUPEA_HARENGUS	1	50G7	13.75	161.3	1.80E-04
N	563	CLUPEA_HARENGUS	1	50G7	14.25	102.6	1.94E-04
N	563	CLUPEA_HARENGUS	1	50G7	14.75	58.7	2.07E-04
N	563	CLUPEA_HARENGUS	1	50G7	15.25	84.3	2.22E-04
N	563	CLUPEA_HARENGUS	1	50G7	15.75	106.3	2.36E-04
N	563	CLUPEA_HARENGUS	1	50G7	16.25	77	2.52E-04
N	563	CLUPEA_HARENGUS	1	50G7	16.75	51.3	2.67E-04
N	563	CLUPEA_HARENGUS	1	50G7	17.25	77	2.84E-04
N	563	CLUPEA_HARENGUS	1	50G7	17.75	47.7	3.00E-04
N	563	CLUPEA_HARENGUS	1	50G7	18.25	40.3	3.17E-04
N	563	CLUPEA_HARENGUS	1	50G7	18.75	14.7	3.35E-04
N	563	CLUPEA_HARENGUS	1	50G7	19.25	33	3.53E-04
N	563	CLUPEA_HARENGUS	1	50G7	19.75	33	3.72E-04
N	563	CLUPEA_HARENGUS	1	50G7	20.25	22	3.91E-04
N	563	CLUPEA_HARENGUS	1	50G7	20.75	14.7	4.10E-04
N	563	CLUPEA_HARENGUS	1	50G7	21.25	9.3	4.30E-04
N	563	CLUPEA_HARENGUS	1	50G7	21.75	1	4.51E-04
N	563	CLUPEA_HARENGUS	1	50G7	22.25	3	4.72E-04
N	563	CLUPEA_HARENGUS	1	50G7	22.75	4	4.93E-04
N	563	CLUPEA_HARENGUS	1	50G7	23.25	4	5.15E-04
N	563	CLUPEA_HARENGUS	1	50G7	23.75	1	5.38E-04
N	563	CLUPEA_HARENGUS	1	50G7	24.25	2	5.61E-04
N	563	CLUPEA_HARENGUS	1	50G7	25.75	2	6.32E-04
N	563	CLUPEA_HARENGUS	1	50G7	26.25	1	6.57E-04
N	563	GASTEROSTEUS_ACULEATUS	2	50G7	3.5	58.7	1.17E-05
N	563	GASTEROSTEUS_ACULEATUS	2	50G7	4.5	44	1.93E-05
N	563	GASTEROSTEUS_ACULEATUS	2	50G7	5.5	190.6	2.88E-05
N	563	GASTEROSTEUS_ACULEATUS	2	50G7	6.5	527.9	4.03E-05
N	563	GASTEROSTEUS_ACULEATUS	2	50G7	7.5	14.7	5.36E-05
N	563	OSMERUS_EPERLANUS	2	50G7	22.5	1	4.83E-04
N	563	SPRATTUS_SPRATTUS	2	50G7	10.75	52	1.10E-04
N	563	SPRATTUS_SPRATTUS	2	50G7	11.25	228.9	1.21E-04
N	563	SPRATTUS_SPRATTUS	2	50G7	11.75	270.5	1.32E-04
N	563	SPRATTUS_SPRATTUS	2	50G7	12.25	395.4	1.43E-04
N	563	SPRATTUS_SPRATTUS	2	50G7	12.75	572.2	1.55E-04
N	563	SPRATTUS_SPRATTUS	2	50G7	13.25	395.4	1.67E-04
N	563	SPRATTUS_SPRATTUS	2	50G7	13.75	124.8	1.80E-04
N	563	SPRATTUS_SPRATTUS	2	50G7	14.25	72.8	1.94E-04
N	563	SPRATTUS_SPRATTUS	2	50G7	14.75	31.2	2.07E-04
N	563	ZOARCES_VIVIPARUS	2	50G7	15.5	1	5.37E-04
N	563	ZOARCES_VIVIPARUS	2	50G7	16.5	1	6.08E-04
