Haul	Species2	Species	ICES	Lengthcl	No.	sigma
565	Clupea_harengus	1	50G9	13.25	33.9	1.67E-04
565	Clupea_harengus	1	50G9	13.75	305.1	1.80E-04
565	Clupea_harengus	1	50G9	14.25	745.8	1.94E-04
565	Clupea_harengus	1	50G9	14.75	1118.6	2.07E-04
565	Clupea_harengus	1	50G9	15.25	1271.2	2.22E-04
565	Clupea_harengus	1	50G9	15.75	1000	2.36E-04
565	Clupea_harengus	1	50G9	16.25	779.7	2.52E-04
565	Clupea_harengus	1	50G9	16.75	220.3	2.67E-04
565	Clupea_harengus	1	50G9	17.25	288.1	2.84E-04
565	Clupea_harengus	1	50G9	17.75	152.5	3.00E-04
565	Clupea_harengus	1	50G9	18.25	33.9	3.17E-04
565	Clupea_harengus	1	50G9	18.75	33.9	3.35E-04
565	Clupea_harengus	1	50G9	19.75	16.9	3.72E-04
565	Clupea_harengus	1	50G9	20.25	16.9	3.91E-04
565	Gasterosteus_aculeatus	2	50G9	3.5	38.5	1.17E-05
565	Gasterosteus_aculeatus	2	50G9	4.5	192.4	1.93E-05
565	Gasterosteus_aculeatus	2	50G9	5.5	346.4	2.88E-05
565	Gasterosteus_aculeatus	2	50G9	6.5	1731.9	4.03E-05
565	Gasterosteus_aculeatus	2	50G9	7.5	192.4	5.36E-05
565	Sprattus_sprattus	2	50G9	11.75	12.3	1.32E-04
565	Sprattus_sprattus	2	50G9	12.25	36.9	1.43E-04
565	Sprattus_sprattus	2	50G9	12.75	6.2	1.55E-04
565	Sprattus_sprattus	2	50G9	13.25	27.7	1.67E-04
565	Sprattus_sprattus	2	50G9	13.75	6.2	1.80E-04
565	Sprattus_sprattus	2	50G9	14.25	3.1	1.94E-04
570	Clupea_harengus	1	50H0	12.75	24	1.55E-04
570	Clupea_harengus	1	50H0	13.25	108	1.67E-04
570	Clupea_harengus	1	50H0	13.75	456.2	1.80E-04
570	Clupea_harengus	1	50H0	14.25	480.2	1.94E-04
570	Clupea_harengus	1	50H0	14.75	696.3	2.07E-04
570	Clupea_harengus	1	50H0	15.25	480.2	2.22E-04
570	Clupea_harengus	1	50H0	15.75	324.1	2.36E-04
570	Clupea_harengus	1	50H0	16.25	168.1	2.52E-04
570	Clupea_harengus	1	50H0	16.75	132.1	2.67E-04
570	Clupea_harengus	1	50H0	17.25	84	2.84E-04
570	Clupea_harengus	1	50H0	17.75	84	3.00E-04
570	Clupea_harengus	1	50H0	18.25	84	3.17E-04
570	Clupea_harengus	1	50H0	18.75	12	3.35E-04
570	Clupea_harengus	1	50H0	19.25	24	3.53E-04
570	Clupea_harengus	1	50H0	19.75	24	3.72E-04
570	Clupea_harengus	1	50H0	23.25	12	5.15E-04
570	Gasterosteus_aculeatus	2	50H0	3.5	224.5	1.17E-05
570	Gasterosteus_aculeatus	2	50H0	4.5	673.5	1.93E-05
570	Gasterosteus_aculeatus	2	50H0	5.5	2469.4	2.88E-05
570	Gasterosteus_aculeatus	2	50H0	6.5	10326.4	4.03E-05
570	Gasterosteus_aculeatus	2	50H0	7.5	2020.4	5.36E-05
570	Myoxocephalus_quadricornis	2	50H0	21.5	1	1.03E-03
570	Osmerus_eperlanus	2	50H0	18.5	1	3.26E-04
570	Sprattus_sprattus	2	50H0	11.25	3.1	1.21E-04
570	Sprattus_sprattus	2	50H0	12.25	18.7	1.43E-04
570	Sprattus_sprattus	2	50H0	12.75	12.4	1.55E-04
570	Sprattus_sprattus	2	50H0	13.25	18.7	1.67E-04
570	Sprattus_sprattus	2	50H0	14.25	6.2	1.94E-04
570	Sprattus_sprattus	2	50H0	14.75	3.1	2.07E-04
570	Zoarces_viviparus	2	50H0	6.5	1	9.44E-05
571	Clupea_harengus	1	50H0	11.75	31.7	1.32E-04
571	Clupea_harengus	1	50H0	12.25	31.7	1.43E-04
571	Clupea_harengus	1	50H0	12.75	317.3	1.55E-04
571	Clupea_harengus	1	50H0	13.25	1301	1.67E-04
571	Clupea_harengus	1	50H0	13.75	2411.5	1.80E-04
571	Clupea_harengus	1	50H0	14.25	2792.3	1.94E-04
571	Clupea_harengus	1	50H0	14.75	1459.6	2.07E-04
571	Clupea_harengus	1	50H0	15.25	1332.7	2.22E-04
571	Clupea_harengus	1	50H0	15.75	507.7	2.36E-04
571	Clupea_harengus	1	50H0	16.25	444.2	2.52E-04
571	Clupea_harengus	1	50H0	16.75	190.4	2.67E-04
571	Clupea_harengus	1	50H0	17.25	63.5	2.84E-04
571	Clupea_harengus	1	50H0	17.75	31.7	3.00E-04
571	Clupea_harengus	1	50H0	18.75	31.7	3.35E-04
571	Gasterosteus_aculeatus	2	50H0	5.5	8.4	2.88E-05
571	Gasterosteus_aculeatus	2	50H0	6.5	75.7	4.03E-05
571	Gasterosteus_aculeatus	2	50H0	7.5	21	5.36E-05
571	Pomatoschistus	2	50H0	4.5	4	1.26E+01
571	Sprattus_sprattus	2	50H0	11.75	4.2	1.32E-04
571	Sprattus_sprattus	2	50H0	12.25	12.6	1.43E-04
571	Sprattus_sprattus	2	50H0	12.75	29.5	1.55E-04
571	Sprattus_sprattus	2	50H0	13.25	54.7	1.67E-04
571	Sprattus_sprattus	2	50H0	13.75	50.5	1.80E-04
571	Sprattus_sprattus	2	50H0	14.25	8.4	1.94E-04
571	Zoarces_viviparus	2	50H0	10.5	1	2.46E-04
564	Clupea_harengus	1	51H0	13.25	71.2	1.67E-04
564	Clupea_harengus	1	51H0	13.75	488.4	1.80E-04
564	Clupea_harengus	1	51H0	14.25	1068.4	1.94E-04
564	Clupea_harengus	1	51H0	14.75	732.7	2.07E-04
564	Clupea_harengus	1	51H0	15.25	549.5	2.22E-04
564	Clupea_harengus	1	51H0	15.75	447.7	2.36E-04
564	Clupea_harengus	1	51H0	16.25	101.8	2.52E-04
564	Clupea_harengus	1	51H0	16.75	81.4	2.67E-04
564	Clupea_harengus	1	51H0	17.25	132.3	2.84E-04
564	Clupea_harengus	1	51H0	17.75	91.6	3.00E-04
564	Clupea_harengus	1	51H0	18.25	91.6	3.17E-04
564	Clupea_harengus	1	51H0	18.75	71.2	3.35E-04
564	Clupea_harengus	1	51H0	19.25	40.7	3.53E-04
564	Clupea_harengus	1	51H0	19.75	20.4	3.72E-04
564	Clupea_harengus	1	51H0	20.25	10.2	3.91E-04
564	Clupea_harengus	1	51H0	21.25	10.2	4.30E-04
564	Clupea_harengus	1	51H0	21.75	10.2	4.51E-04
564	Clupea_harengus	1	51H0	22.25	10.2	4.72E-04
564	Clupea_harengus	1	51H0	23.75	10.2	5.38E-04
564	Gasterosteus_aculeatus	2	51H0	3.5	62.9	1.17E-05
564	Gasterosteus_aculeatus	2	51H0	4.5	314.4	1.93E-05
564	Gasterosteus_aculeatus	2	51H0	5.5	565.8	2.88E-05
564	Gasterosteus_aculeatus	2	51H0	6.5	3080.7	4.03E-05
564	Gasterosteus_aculeatus	2	51H0	7.5	440.1	5.36E-05
564	Sprattus_sprattus	2	51H0	12.25	37.1	1.43E-04
564	Sprattus_sprattus	2	51H0	12.75	63.9	1.55E-04
564	Sprattus_sprattus	2	51H0	13.25	82.5	1.67E-04
564	Sprattus_sprattus	2	51H0	13.75	43.3	1.80E-04
564	Sprattus_sprattus	2	51H0	14.25	14.4	1.94E-04
564	Sprattus_sprattus	2	51H0	14.75	4.1	2.07E-04
548	Clupea_harengus	1	53G8	13.75	57.8	1.80E-04
548	Clupea_harengus	1	53G8	14.25	80.9	1.94E-04
548	Clupea_harengus	1	53G8	14.75	219.6	2.07E-04
548	Clupea_harengus	1	53G8	15.25	277.4	2.22E-04
548	Clupea_harengus	1	53G8	15.75	242.7	2.36E-04
548	Clupea_harengus	1	53G8	16.25	358.3	2.52E-04
548	Clupea_harengus	1	53G8	16.75	404.5	2.67E-04
548	Clupea_harengus	1	53G8	17.25	497	2.84E-04
548	Clupea_harengus	1	53G8	17.75	462.3	3.00E-04
548	Clupea_harengus	1	53G8	18.25	196.5	3.17E-04
548	Clupea_harengus	1	53G8	18.75	208	3.35E-04
548	Clupea_harengus	1	53G8	19.25	104	3.53E-04
548	Clupea_harengus	1	53G8	19.75	92.5	3.72E-04
548	Clupea_harengus	1	53G8	20.25	57.8	3.91E-04
548	Clupea_harengus	1	53G8	20.75	11.6	4.10E-04
548	Clupea_harengus	1	53G8	21.25	23.1	4.30E-04
548	Clupea_harengus	1	53G8	21.75	11.6	4.51E-04
548	Clupea_harengus	1	53G8	23.25	11.6	5.15E-04
548	Gasterosteus_aculeatus	2	53G8	3.5	54.3	1.17E-05
548	Gasterosteus_aculeatus	2	53G8	4.5	163	1.93E-05
548	Gasterosteus_aculeatus	2	53G8	5.5	326	2.88E-05
548	Gasterosteus_aculeatus	2	53G8	6.5	2499.3	4.03E-05
548	Gasterosteus_aculeatus	2	53G8	7.5	380.3	5.36E-05
548	Liparis_liparis	2	53G8	12.5	1	3.49E-04
548	Sprattus_sprattus	2	53G8	11.75	13.7	1.32E-04
548	Sprattus_sprattus	2	53G8	12.25	95.9	1.43E-04
548	Sprattus_sprattus	2	53G8	12.75	126.8	1.55E-04
548	Sprattus_sprattus	2	53G8	13.25	123.3	1.67E-04
548	Sprattus_sprattus	2	53G8	13.75	130.2	1.80E-04
548	Sprattus_sprattus	2	53G8	14.25	20.6	1.94E-04
548	Sprattus_sprattus	2	53G8	14.75	17.1	2.07E-04
534	Clupea_harengus	1	55H0	6.25	5.9	3.72E-05
534	Clupea_harengus	1	55H0	6.75	11.8	4.34E-05
534	Clupea_harengus	1	55H0	7.25	5.9	5.01E-05
534	Clupea_harengus	1	55H0	7.75	5.9	5.73E-05
534	Clupea_harengus	1	55H0	8.25	11.8	6.49E-05
534	Clupea_harengus	1	55H0	12.75	23.6	1.55E-04
534	Clupea_harengus	1	55H0	13.25	70.9	1.67E-04
534	Clupea_harengus	1	55H0	13.75	106.4	1.80E-04
534	Clupea_harengus	1	55H0	14.25	130.1	1.94E-04
534	Clupea_harengus	1	55H0	14.75	130.1	2.07E-04
534	Clupea_harengus	1	55H0	15.25	159.6	2.22E-04
534	Clupea_harengus	1	55H0	15.75	177.4	2.36E-04
534	Clupea_harengus	1	55H0	16.25	201	2.52E-04
