D_N	Haul	Species2	Species	ICES	Lengthcl	No	TS_a	TS_b
N	595	Ammodytidae	2	50H0	9.5	1	20	-71.2
N	595	Ammodytidae	2	50H0	10.5	1	20	-71.2
N	595	Clupea_harengus	1	50H0	8.25	34.4	20	-71.2
N	595	Clupea_harengus	1	50H0	13.25	292	20	-71.2
N	595	Clupea_harengus	1	50H0	13.75	704.3	20	-71.2
N	595	Clupea_harengus	1	50H0	14.25	807.4	20	-71.2
N	595	Clupea_harengus	1	50H0	14.75	652.8	20	-71.2
N	595	Clupea_harengus	1	50H0	15.25	1168.1	20	-71.2
N	595	Clupea_harengus	1	50H0	15.75	1099.4	20	-71.2
N	595	Clupea_harengus	1	50H0	16.25	635.6	20	-71.2
N	595	Clupea_harengus	1	50H0	16.75	601.2	20	-71.2
N	595	Clupea_harengus	1	50H0	17.25	292	20	-71.2
N	595	Clupea_harengus	1	50H0	17.75	103.1	20	-71.2
N	595	Clupea_harengus	1	50H0	18.25	171.8	20	-71.2
N	595	Clupea_harengus	1	50H0	18.75	68.7	20	-71.2
N	595	Clupea_harengus	1	50H0	19.25	68.7	20	-71.2
N	595	Clupea_harengus	1	50H0	19.75	34.4	20	-71.2
N	595	Clupea_harengus	1	50H0	20.25	17.2	20	-71.2
N	595	Clupea_harengus	1	50H0	20.75	34.4	20	-71.2
N	595	Clupea_harengus	1	50H0	21.25	17.2	20	-71.2
N	595	Clupea_harengus	1	50H0	21.75	17.2	20	-71.2
N	595	Gasterosteus_aculeatus	2	50H0	2.5	26.1	20	-71.2
N	595	Gasterosteus_aculeatus	2	50H0	3.5	52.2	20	-71.2
N	595	Gasterosteus_aculeatus	2	50H0	4.5	130.5	20	-71.2
N	595	Gasterosteus_aculeatus	2	50H0	5.5	130.5	20	-71.2
N	595	Gasterosteus_aculeatus	2	50H0	6.5	1957.2	20	-71.2
N	595	Gasterosteus_aculeatus	2	50H0	7.5	548	20	-71.2
N	595	Liparis_liparis	2	50H0	8.5	1	20	-67.5
N	595	Sprattus_sprattus	2	50H0	7.75	2.4	20	-71.2
N	595	Sprattus_sprattus	2	50H0	10.75	2.4	20	-71.2
N	595	Sprattus_sprattus	2	50H0	11.25	12.1	20	-71.2
N	595	Sprattus_sprattus	2	50H0	11.75	19.4	20	-71.2
N	595	Sprattus_sprattus	2	50H0	12.25	48.4	20	-71.2
N	595	Sprattus_sprattus	2	50H0	12.75	82.3	20	-71.2
N	595	Sprattus_sprattus	2	50H0	13.25	111.3	20	-71.2
N	595	Sprattus_sprattus	2	50H0	13.75	72.6	20	-71.2
N	595	Sprattus_sprattus	2	50H0	14.25	9.7	20	-71.2
N	595	Sprattus_sprattus	2	50H0	14.75	2.4	20	-71.2
N	592	Clupea_harengus	1	51H0	7.25	20.6	20	-71.2
N	592	Clupea_harengus	1	51H0	8.25	20.6	20	-71.2
