ch1	ch2	Rec	meanD	Rec2	Ae	pA	LOG
638.208	0	1	30	50G7	0.001984594	4.92E-06	1
1104.216	0	1	30	50G7	0.001984594	4.92E-06	2
1480.331	0	1	30	50G7	0.001984594	4.92E-06	3
1778.983	0	1	30	50G7	0.001984594	4.92E-06	4
1156.81	0	1	30	50G7	0.001984594	4.92E-06	5
1063.63	0	1	25	50G7	0.0016534	4.10E-06	6
1274.674	0	1	30	50G7	0.001984594	4.92E-06	7
1906.961	0	1	30	50G7	0.001984594	4.92E-06	8
990.385	14.778	1	40	50G7	0.002647496	6.57E-06	9
873.718	288.692	1	35	50G7	0.002315959	5.75E-06	10
1014.662	77.371	1	35	50G7	0.002315959	5.75E-06	11
392.182	49.665	1	35	50G7	0.002315959	5.75E-06	12
486.565	32.899	1	35	50G7	0.002315959	5.75E-06	13
441.128	29.553	1	35	50G7	0.002315959	5.75E-06	14
395.812	8.861	1	35	50G7	0.002315959	5.75E-06	15
512.531	0	1	30	50G7	0.001984594	4.92E-06	16
846.888	0	1	30	50G7	0.001984594	4.92E-06	17
1217.864	0	1	30	50G7	0.001984594	4.92E-06	18
1191.326	0.751	1	35	50G7	0.002315959	5.75E-06	19
1048.767	21.727	1	35	50G7	0.002315959	5.75E-06	20
1183.187	64.06	1	35	50G7	0.002315959	5.75E-06	21
337.365	0	1	30	50G7	0.001984594	4.92E-06	22
624.962	0	1	25	50G7	0.0016534	4.10E-06	23
568.084	0	1	25	50G7	0.0016534	4.10E-06	24
737.758	0	1	25	50G7	0.0016534	4.10E-06	25
780.324	0	1	30	50G7	0.001984594	4.92E-06	26
922.313	42.129	1	35	50G7	0.002315959	5.75E-06	27
477.602	29.811	1	35	50G7	0.002315959	5.75E-06	28
240.818	5.68	1	35	50G7	0.002315959	5.75E-06	29
258.073	0	1	30	50G7	0.001984594	4.92E-06	30
277.168	0	1	30	50G7	0.001984594	4.92E-06	31
559.474	12.086	1	35	50G7	0.002315959	5.75E-06	32
522.481	243.654	1	40	50G7	0.002647496	6.57E-06	33
617.955	50.915	1	35	50G7	0.002315959	5.75E-06	34
657.97	0	1	30	50G7	0.001984594	4.92E-06	35
733.072	0	1	30	50G7	0.001984594	4.92E-06	36
729.956	0	1	30	50G7	0.001984594	4.92E-06	37
447.938	0	1	30	50G7	0.001984594	4.92E-06	38
533.395	0	1	25	50G7	0.0016534	4.10E-06	39
514.04	0	1	30	50G7	0.001984594	4.92E-06	40
536.227	7.353	1	35	50G7	0.002315959	5.75E-06	41
829.826	0	1	30	50G7	0.001984594	4.92E-06	42
1347.47	2.841	1	35	50G7	0.002315959	5.75E-06	43
1151.025	0	1	30	50G7	0.001984594	4.92E-06	44
603.077	0	1	30	50G7	0.001984594	4.92E-06	45
577.255	0	1	30	50G7	0.001984594	4.92E-06	46
569.642	0	1	30	50G7	0.001984594	4.92E-06	47
499.657	0	1	30	50G7	0.001984594	4.92E-06	48
496.621	10.196	1	35	50G7	0.002315959	5.75E-06	49
NA	NA	1	NA	50G7	402.9974518	0.999745601	50
44.633	165.445	2	50	50G8	0.003311083	3.97E-06	1
26.52	222.776	2	45	50G8	0.002979204	3.57E-06	2
36.835	206.284	2	45	50G8	0.002979204	3.57E-06	3
31.965	200.242	2	55	50G8	0.003643134	4.37E-06	4
57.136	239.98	2	45	50G8	0.002979204	3.57E-06	5
95.121	128.806	2	45	50G8	0.002979204	3.57E-06	6
141.037	95.005	2	45	50G8	0.002979204	3.57E-06	7
140.678	82.562	2	45	50G8	0.002979204	3.57E-06	8
111.347	68.6	2	45	50G8	0.002979204	3.57E-06	9
319.689	59.077	2	45	50G8	0.002979204	3.57E-06	10
199.013	50.536	2	45	50G8	0.002979204	3.57E-06	11
619.407	49.908	2	45	50G8	0.002979204	3.57E-06	12
586.382	43.349	2	40	50G8	0.002647496	3.18E-06	13
207.355	28.586	2	35	50G8	0.002315959	2.78E-06	14
700.916	19.687	2	35	50G8	0.002315959	2.78E-06	15
621.438	0	2	30	50G8	0.001984594	2.38E-06	16
909.475	9.654	2	35	50G8	0.002315959	2.78E-06	17
508.627	52.745	2	35	50G8	0.002315959	2.78E-06	18
934.89	90.253	2	35	50G8	0.002315959	2.78E-06	19
357.66	23.385	2	35	50G8	0.002315959	2.78E-06	20
241.161	10.801	2	40	50G8	0.002647496	3.18E-06	21
550.983	8.815	2	35	50G8	0.002315959	2.78E-06	22
647.242	18.917	2	35	50G8	0.002315959	2.78E-06	23
409.582	36.981	2	35	50G8	0.002315959	2.78E-06	24
558.259	37.173	2	35	50G8	0.002315959	2.78E-06	25
296.856	24.312	2	35	50G8	0.002315959	2.78E-06	26
411.17	37.7	2	35	50G8	0.002315959	2.78E-06	27
327.868	39.965	2	35	50G8	0.002315959	2.78E-06	28
473.666	75.074	2	35	50G8	0.002315959	2.78E-06	29
588.861	107.867	2	35	50G8	0.002315959	2.78E-06	30
401.66	15.424	2	35	50G8	0.002315959	2.78E-06	31
225.726	39.59	2	35	50G8	0.002315959	2.78E-06	32
161.079	44.663	2	35	50G8	0.002315959	2.78E-06	33
173.298	26.116	2	35	50G8	0.002315959	2.78E-06	34
296.909	18.794	2	35	50G8	0.002315959	2.78E-06	35
644.364	0	2	30	50G8	0.001984594	2.38E-06	36
671.556	0	2	30	50G8	0.001984594	2.38E-06	37
536.261	0	2	30	50G8	0.001984594	2.38E-06	38
412.293	0	2	30	50G8	0.001984594	2.38E-06	39
636.83	0	2	30	50G8	0.001984594	2.38E-06	40
748.028	0	2	30	50G8	0.001984594	2.38E-06	41
479.538	0.899	2	35	50G8	0.002315959	2.78E-06	42
363.425	25.11	2	35	50G8	0.002315959	2.78E-06	43
317.746	14.914	2	35	50G8	0.002315959	2.78E-06	44
217.135	4.547	2	35	50G8	0.002315959	2.78E-06	45
362.953	2.751	2	35	50G8	0.002315959	2.78E-06	46
444.496	80.541	2	35	50G8	0.002315959	2.78E-06	47
459.17	97.373	2	35	50G8	0.002315959	2.78E-06	48
404.856	136.528	2	35	50G8	0.002315959	2.78E-06	49
864.25	132.781	2	35	50G8	0.002315959	2.78E-06	50
741.721	165.143	2	35	50G8	0.002315959	2.78E-06	51
635.767	135.664	2	35	50G8	0.002315959	2.78E-06	52
466.627	98.272	2	35	50G8	0.002315959	2.78E-06	53
404.251	65.366	2	40	50G8	0.002647496	3.18E-06	54
343.393	88.153	2	40	50G8	0.002647496	3.18E-06	55
336.96	88.564	2	40	50G8	0.002647496	3.18E-06	56
245.535	32.924	2	40	50G8	0.002647496	3.18E-06	57
262.105	51.87	2	45	50G8	0.002979204	3.57E-06	58
161.848	52.113	2	45	50G8	0.002979204	3.57E-06	59
224.23	66.481	2	50	50G8	0.003311083	3.97E-06	60
232.418	87.79	2	50	50G8	0.003311083	3.97E-06	61
110.578	34.447	2	55	50G8	0.003643134	4.37E-06	62
88.847	40.658	2	55	50G8	0.003643134	4.37E-06	63
794.734	28.423	2	55	50G8	0.003643134	4.37E-06	64
760.808	74.829	2	55	50G8	0.003643134	4.37E-06	65
418.039	57.877	2	65	50G8	0.004307749	5.17E-06	66
656.639	44.317	2	65	50G8	0.004307749	5.17E-06	67
468.656	9.167	2	40	50G8	0.002647496	3.18E-06	68
393.715	59.921	2	70	50G8	0.004640313	5.57E-06	69
383.892	20.715	2	70	50G8	0.004640313	5.57E-06	70
83.872	24.616	2	75	50G8	0.004973049	5.97E-06	71
NA	NA	2	NA	50G8	833.2066961	0.999768054	72
19.72	108.505	3	60	50G9	0.003975356	4.52E-06	1
32.764	126.01	3	60	50G9	0.003975356	4.52E-06	2
3.803	108.205	3	60	50G9	0.003975356	4.52E-06	3
5.15	66	3	55	50G9	0.003643134	4.14E-06	4
5.32	84.453	3	60	50G9	0.003975356	4.52E-06	5
0	117.756	3	80	50G9	0.005305956	6.03E-06	6
2.742	119.036	3	70	50G9	0.004640313	5.28E-06	7
3.264	139.161	3	65	50G9	0.004307749	4.90E-06	8
4.73	102.538	3	70	50G9	0.004640313	5.28E-06	9
3.91	114.308	3	60	50G9	0.003975356	4.52E-06	10
3.066	57.818	3	60	50G9	0.003975356	4.52E-06	11
6.042	87.946	3	70	50G9	0.004640313	5.28E-06	12
8.185	81.712	3	55	50G9	0.003643134	4.14E-06	13
0.941	123.792	3	65	50G9	0.004307749	4.90E-06	14
3.722	158.95	3	65	50G9	0.004307749	4.90E-06	15
3.654	185.96	3	70	50G9	0.004640313	5.28E-06	16
0.503	121.044	3	75	50G9	0.004973049	5.65E-06	17
8.417	140.375	3	70	50G9	0.004640313	5.28E-06	18
43.668	131.004	3	65	50G9	0.004307749	4.90E-06	19
2.68	94.218	3	70	50G9	0.004640313	5.28E-06	20
12.327	139.634	3	70	50G9	0.004640313	5.28E-06	21
16.547	93.128	3	65	50G9	0.004307749	4.90E-06	22
11.54	139.573	3	70	50G9	0.004640313	5.28E-06	23
7.721	170.814	3	70	50G9	0.004640313	5.28E-06	24
15.61	218.251	3	70	50G9	0.004640313	5.28E-06	25
15.967	256.125	3	65	50G9	0.004307749	4.90E-06	26
33.228	211.737	3	65	50G9	0.004307749	4.90E-06	27
10.517	246.308	3	60	50G9	0.003975356	4.52E-06	28
25.76	213.335	3	65	50G9	0.004307749	4.90E-06	29
14.925	193.547	3	70	50G9	0.004640313	5.28E-06	30
25.163	164.058	3	55	50G9	0.003643134	4.14E-06	31
13.397	195.005	3	60	50G9	0.003975356	4.52E-06	32
21.31	170.622	3	55	50G9	0.003643134	4.14E-06	33
29.216	171.534	3	55	50G9	0.003643134	4.14E-06	34
174.696	34.786	3	50	50G9	0.003311083	3.76E-06	35
188.892	67.268	3	55	50G9	0.003643134	4.14E-06	36
207.261	40.535	3	50	50G9	0.003311083	3.76E-06	37
170.688	38.466	3	50	50G9	0.003311083	3.76E-06	38
175.442	41.973	3	55	50G9	0.003643134	4.14E-06	39
138.219	35.717	3	55	50G9	0.003643134	4.14E-06	40
171.749	25.325	3	55	50G9	0.003643134	4.14E-06	41
155.486	27.242	3	55	50G9	0.003643134	4.14E-06	42
129.557	20.831	3	55	50G9	0.003643134	4.14E-06	43
147.601	23.079	3	55	50G9	0.003643134	4.14E-06	44
147.582	41.311	3	50	50G9	0.003311083	3.76E-06	45
125.412	52.733	3	55	50G9	0.003643134	4.14E-06	46
123.922	93.37	3	50	50G9	0.003311083	3.76E-06	47
147.014	62.362	3	50	50G9	0.003311083	3.76E-06	48
